Date,Song Title,Artist,Album,Duration
2025-03-08,luther,Kendrick Lamar,Kendrick Lamar,2:57
2025-03-08,Loco,Neton Vega,Neton Vega,3:06
2025-03-08,NOKIA,Drake,Drake,4:01
2025-03-08,ME JALO,Fuerza Regida,Fuerza Regida,3:32
2025-03-08,Por Esos Ojos,Fuerza Regida,Fuerza Regida,3:08
2025-03-08,TATTOO,Tito Double P,Tito Double P,2:47
2025-03-08,tv off (feat. Lefty Gunplay),Kendrick Lamar,Kendrick Lamar,3:40
2025-03-08,7 Días,Gabito Ballesteros,Gabito Ballesteros,3:00
2025-03-08,squabble up,Kendrick Lamar,Kendrick Lamar,2:37
2025-03-08,Morena,Neton Vega,Neton Vega,3:13
2025-03-08,Die With A Smile,Lady Gaga,Lady Gaga,4:11
2025-03-08,DOS DÍAS,Tito Double P,Tito Double P,2:33
2025-03-08,NADIE,Tito Double P,Tito Double P,3:17
2025-03-08,Tu Boda,Óscar Maydon,Óscar Maydon,3:45
2025-03-08,Mi Vida Mi Muerte,Neton Vega,Neton Vega,2:55
2025-03-08,DtMF,Bad Bunny,Bad Bunny,3:57
2025-03-08,Te Quería Ver,Alemán,Alemán,2:56
2025-03-08,Not Like Us,Kendrick Lamar,Kendrick Lamar,4:34
2025-03-08,LA PATRULLA,Peso Pluma,Peso Pluma,2:10
2025-03-08,30 For 30 (with Kendrick Lamar),SZA,SZA,4:38
2025-03-08,M&M,Neton Vega,Neton Vega,2:46
2025-03-08,DIE TRYING,PARTYNEXTDOOR,PARTYNEXTDOOR,3:15
2025-03-08,EL LOKERON,Tito Double P,Tito Double P,2:25
2025-03-08,ROSONES,Tito Double P,Tito Double P,2:57
2025-03-08,RUBICON,Peso Pluma,Peso Pluma,3:58
